prod_cd,prod_descr,country_code,prod_status_descr,npd_launch,long_descr,category_descr,development_descr,sector_descr,segment_descr,brand_descr,subbrand_descr,type_descr,set_sample_cd,team_category_descr,price_segment_desc,thumbnail_url,image_url,color
32540,Incognito for him Edt,G,Ongoing (N),2016-03-15 00:00:00.000,Incognito for him Eau de Toilette,Fragrances,Global Development,Men Fragrance,Youth Fragrances,Incognito,Not Applicable,Eau de Toilette,REGP,Men Fragrance,Male Edt and Edp,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/325/32540.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/325/32540.ashx?u=0101010000,NULL
34852,NFM Urban HBF Wash,G,Limited Life (L),2019-01-07 00:00:00.000,"North For Men Urban Hair, Body & Face Wash ",Personal Care,Global Development,Bath & Shower,Body Wash/Shower Gel,North for Men,Not Applicable,Men Shower Gel,REGP,Personal & Hair Care,Shower gels,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/348/34852.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/348/34852.ashx?u=0101010000,NULL
34906,NFM Urban Shaving Foam,G,Limited Life (L),2019-01-07 00:00:00.000,"North For Men Urban Shaving Foam ",Personal Care,Global Development,Men Shaving,Men Pre Shave,North for Men,Not Applicable,Shaving Foam,REGP,Personal & Hair Care,Men Shaving,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/349/34906.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/349/34906.ashx?u=0101010000,NULL
34911,NFM Urban Soap Bar,G,Limited Life (L),2019-01-07 00:00:00.000,"North For Men Urban Soap Bar ",Personal Care,Global Development,Bath & Shower,Bar Soap,North for Men,Not Applicable,Men Soap Bar,REGP,Personal & Hair Care,Soap Bar,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/349/34911.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/349/34911.ashx?u=0101010000,NULL
33123,Disguise Perfumed Body Lotion,G,Ongoing (N),2017-10-24 00:00:00.000,The ONE Disguise Perfumed Body Lotion,Skin Care,Global Development,Body Care,General Purpose Body Care,The ONE,Not Applicable,Body Lotion,REGP,Woman Fragrance,Body Care,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/331/33123.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/331/33123.ashx?u=0101010000,NULL
33413,The One Disguise Eau de Parfum,G,Ongoing (N),2017-10-01 00:00:00.000,The One Disguise Eau de Parfum,Fragrances,Global Development,Women Fragrance,Female Fragrance,The ONE,Not Applicable,Female Eau de Parfum,REGP,Woman Fragrance,Female Edt and Edp,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/03/33/334/33413.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/03/33/334/33413.ashx?u=0101010000,NULL
22715,SilkBeauty White Glow Soap Bar,G,Ongoing (N),2011-08-10 00:00:00.000,Silk Beauty White Glow Soap Bar,Personal Care,Global Development,Bath & Shower,Bar Soap,Silk Beauty,Silk Beauty White Glow,Soap Bar,REGP,Personal & Hair Care,Soap Bar,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/02/22/227/22715.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/02/22/227/22715.ashx?u=0101010000,NULL
43413,Tender Care Gift Box,G,Limited Life (L),2019-04-01 00:00:00.000,Tender Care Gift Box,Skin Care,India Products,Facial Care,Lip Care,Non Branded,Not Applicable,Lip Balm Set,REGP,Skin Care,Lip Care,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/43413.ashx?u=1903190555&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/43413.ashx?u=1903190555,NULL
32230,NFM Fairness Soap Bar,G,Ongoing (N),2016-02-23 00:00:00.000,North for Men Fairness Soap Bar,Personal Care,Global Development,Bath & Shower,Bar Soap,North for Men,Fairness,Men Soap Bar,REGP,Personal & Hair Care,Soap Bar,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/322/32230.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/322/32230.ashx?u=0101010000,NULL
32616,LN Shower Cream Almond Oil,G,Ongoing (N),2017-04-18 00:00:00.000,Love Nature Shower Cream Nourishing Almond Oil,Personal Care,Global Development,Bath & Shower,Body Wash/Shower Gel,Love Nature,Nourishing,Shower Gel,REGP,Personal & Hair Care,Shower gels,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/326/32616.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/326/32616.ashx?u=0101010000,NULL
37763,Heart Pop Midnight Watch,G,Limited Life (L),2019-01-07 00:00:00.000,Heart Pop Midnight Watch,Accessories,Global Development,Men Accessories,Men Jewellery,Non Branded,Not Applicable,Men Watch,REGP,Accessories,Jewellery,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/37/377/37763.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/37/377/37763.ashx?u=0101010000,NULL
33313,The ONE Brush Stroke Eye Li - Black,G,Discontinued (D),2017-08-01 00:00:00.000,The ONE Brush Stroke Eye Liner - Brilliant Black,Colour Cosmetics,Global Development,Eye Make-Up,Eye Liner/Pencil,The ONE,Express,Dip Eye Liner,REGP,Colour Cosmetics,Eye Liner,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/333/33313.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/333/33313.ashx?u=0101010000,NULL
29446,NovAge Men SET,G,Ongoing (N),2017-12-01 00:00:00.000,NovAge Men SET,Skin Care,Global Development,Facial Care,Anti-Agers,Novage,Men,Anti-Aging Set,GSET,Skin Care,Other,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/02/29/294/29446.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/02/29/294/29446.ashx?u=0101010000,NULL
29855,Optimals Hydra Radiance SET,G,Ongoing (N),2017-06-20 00:00:00.000,Optimals Hydra Radiance SET,Skin Care,Global Development,Facial Care,Facial Moisturisers,Optimals,Hydra,Moisturiser Day,GSET,Skin Care,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/29855.ashx?u=1810091029&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/29855.ashx?u=1810091029,NULL
29856,Optimals Hydra Matte Balancing SET,G,Ongoing (N),2017-06-20 00:00:00.000,Optimals Hydra Matte Balancing SET,Skin Care,Global Development,Facial Care,Facial Moisturisers,Optimals,Not Applicable,Moisturiser,GSET,Skin Care,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/29856.ashx?u=1810030308&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/29856.ashx?u=1810030308,NULL
29857,Optimals Even Out SET,G,Ongoing (N),2017-03-07 00:00:00.000,Optimals Even Out SET,Skin Care,Global Development,Facial Care,Facial Moisturisers,Optimals,Even Out,Moisturiser Day,GSET,Skin Care,NULL,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/2/29/298/29857.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/2/29/298/29857.ashx?u=0101010000,NULL
37841,NovAge Ecollagen SET,G,Discontinued (D),2018-08-27 00:00:00.000,NovAge Ecollagen SET,Skin Care,Global Development,Facial Care,Anti-Agers,Novage,Ecollagen,Anti-Aging Set,GSET,Skin Care,Other,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/37/378/37841.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/37/378/37841.ashx?u=0101010000,NULL
31773,NovAge Ultimate Lift SET,G,Ongoing (N),2018-08-01 00:00:00.000,NovAge Ultimate Lift SET,Skin Care,Global Development,Facial Care,Anti-Agers,Novage,Ultimate Lift,Anti-Aging Set,GSET,Skin Care,Other,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/31/317/31773.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/31/317/31773.ashx?u=0101010000,NULL
31775,NovAge Bright Sublime SET,G,Ongoing (N),2018-08-01 00:00:00.000,NovAge Bright Sublime SET,Skin Care,Global Development,Facial Care,Anti-Agers,Novage,Bright Sublime,Anti-Aging Set,GSET,Skin Care,Other,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/31/317/31775.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/31/317/31775.ashx?u=0101010000,NULL
